publishedAt,title,author,url,urlToImage,description
2018-02-02T04:25:02Z,Trump being Trump,https://facebook.com/9gag,https://9gag.com/gag/a47LPrA/trump-being-trump,https://images-cdn.9gag.com/photo/a47LPrA_700b.jpg,"Tags: Sara Del Rey, Aksana 1974 points, 108 comments."
2018-03-27T00:53:25Z,Trump vs Trump vs Trump,newton,https://www.liveleak.com/view?t=zsGg_1522112005,https://i.ytimg.com/vi/14BYJfKRPLQ/default.jpg,The President Fights with Himself {{embed|t=TKT1_1522111910}}
2017-11-08T05:58:50Z,Real Trump/Fake Trump/Same Trump,Steven Heller,http://www.printmag.com/daily-heller/real-trump-fake-trump-you-cant-spell-america-without-me/,http://wwwcdn.printmag.com/wp-content/uploads/2017-080B_Alec_Baldwin_Book_A_NK_0154_R3_CMYK.jpg,"Steven Heller talks with Bonnie Siegler, who designed and art directed Alec Baldwin and Kurt Andersen's new book ""You Can't Spell America Without Me."" The post Real Trump/Fake Trump/Same Trump appeared first on Print Magazine."
2018-01-27T04:30:00Z,"Trump, Trump, Trump",Rainer Stadler,https://www.nzz.ch/feuilleton/medien/trump-trump-trump-ld.1351639,"https://img.nzz.ch/C=W3133,H1762,X0,Y163/S=W1200/O=75/http://nzz-img.s3.amazonaws.com/2018/1/26/59cae068-79f9-4a08-a1fd-f43bcc3970e4.jpeg",Was für ein Kontrast zu den bisherigen negativen Schlagzeilen über den amerikanischen Präsidenten. Hofberichterstattung prägte seinen Besuch in Davos.
2018-01-25T18:50:06Z,"""Trump, Trump, Trump, Trump..."" - Wiener Zeitung",Thomas Seifert aus Davos,http://www.wienerzeitung.at/nachrichten/welt/weltpolitik/943387_Trump-Trump-Trump-Trump-.-.-..html,http://www.wienerzeitung.at/_em_daten/245167/_/1xPborn2rP1997FQf1Ft4OU40iFUUhFf5oRcL_rhEFyd0c5pa2WWWqIBdIdg51EUY_3Kzxq1KZ0caR1_AoCvN1rQgZ3j27u_uDZtqzaU9OV4xOtsZVUfESR7Zn2H4pCLi3/180125-1950-948-0900-123677-260103trump.jpg,"Wiener Zeitung ""Trump, Trump, Trump, Trump..."" Wiener Zeitung Davos. ""Trump. Trump. Trump. Trump. Trump..."" Über eine ganze Kolumnenspalte zieht sich das in der ""Basler Zeitung"" hin. Und damit hat es die ""Basler"" ganz gut getroffen. Denn tatsächlich scheint d…"
2017-11-15T17:49:05Z,Trump hilft Trump,Von Claus Hulverscheidt,http://www.sueddeutsche.de/wirtschaft/us-steuerreform-trump-hilft-trump-1.3750403,http://polpix.sueddeutsche.com/staticassets/img/article/facebook-default.140428.jpg,"Das große Bohei um die Steuerpläne verdeckt nicht, dass sie Reichen nutzen und Arbeitnehmern schaden.  Trump richtet seine Politik nicht zuletzt danach aus, ob sie dem Unternehmer und Privatmann Trump finanziell nutzt."
2017-11-11T14:42:06Z,Trump widerspricht Trump,Von Stefan Kornelius,http://www.sueddeutsche.de/politik/usa-und-asien-trump-widerspricht-trump-1.3744081,http://media-cdn.sueddeutsche.de/image/sz.1.3743980/940x528/donald-trump-xi-jinping-usa-china-freihandel-apec.jpg?v=1510410983,"In Peking gibt er den Zahmen, in Vietnam stößt er viele Verbündete vor den Kopf. Amerikas Präsident stiftet auf seiner Asien-Reise viel Verwirrung."
2017-11-12T13:52:49Z,Donald Trump on Twitter trump president trump donald trump breaking news trump twitter,Ellen L,https://www.liveleak.com/view?i=cbf_1510494687,https://cdn.liveleak.com/80281E/s/s/20/media20/2017/Nov/12/9c77c0a1925a_embed_thumbnail_1510494760.jpg?kyJX7vQuk8CEmd6uYMYKwTZi4p7RxOgPu3dLvWcOI9I8CQjzbFFIcriehpJ_uiX5&ec_rate=499,"Donald J. Trump isn't following Colin Kaepernick and Stephen Curry for being ""dark"". He's following them for slighting America. Tail me on Twitter"
2018-02-08T20:40:00Z,Trump Bump... Or Trump Dump?,Tyler Durden,https://www.zerohedge.com/news/2018-02-08/trump-bump-or-trump-dump,https://www.zerohedge.com/sites/default/files/2018-02/gmc15560420180206120800.jpg,"Responsible? Or, irresponsible? Source: Townhall.com"
2018-04-23T02:52:45Z,'I Was Trump Before Trump Was Trump',"Jeremy Peters, New York Times",https://www.realclearpolitics.com/2018/04/22/039i_was_trump_before_trump_was_trump039_440522.html,,"Jeremy Peters, New York Times Republican candidates all over are parroting the president, spouting his catchphrases and donning his hats as they try to show loyalty."
2018-04-06T09:48:14Z,When Trump lets Trump be Trump,ABC News,http://abcnews.go.com/Politics/note-trump-lets-trump-trump/story?id=54267733,https://s.abcnews.com/images/Politics/donald-trump-5-ap-jt-180405_hpMain_16x9_992.jpg,"The TAKE with Rick Klein Staff letting Trump be Trump is one thing. But what happens when Trump really lets Trump be Trump? That’s the stuff of tirades about rapes of migrant women and asylum-seeker caravans, of military deployments to the border and out of S…"
2018-02-27T05:18:12Z,Trump,Clone,https://www.mmo-champion.com/threads/2380417-Trump?p=48967795#post48967795,,"https://www.msn.com/en-us/news/politics/trump-said-he-would-charge-a-gunman-here’s-what-he’s-actually-done-in-the-face-of-danger/ar-BBJDAsu?ocid=spartanntp 
 
Getting called out by The Washington Post. 
 
Edit: I screwed up the title, can a mod change it to ""…"
2018-02-18T12:00:00Z,Trump,RTÉ:Ireland,http://www.rte.ie/cspodcasts/media.mp3?c1=2&c2=16951747&ns_site=test&ns_type=clickin&rte_vs_ct=aud&rte_vs_sc=pod&rte_mt_sec=radio&rte_vs_sn=radio1&rte_mt_pub_dt=2018-02-18&rte_mt_prg_name=test-marianfinucane&title=Trump&c7=http%3A%2F%2Fpodcast.rasset.ie%2Fpodcasts%2Faudio%2F2018%2F0218%2F20180218_rteradio1-marianfinucane-trump_c21319858_21319862_232_.mp3&r=http%3A%2F%2Fpodcast.rasset.ie%2Fpodcasts%2Faudio%2F2018%2F0218%2F20180218_rteradio1-marianfinucane-trump_c21319858_21319862_232_.mp3,,New York based journalist and film maker Patrick Farrelly joins Marian on the line.
2018-02-27T17:37:07Z,Trump?!,#B4DBUG5,https://www.flickr.com/photos/147757074@N05/39810349104,https://c1.staticflickr.com/5/4752/39810349104_54eae3723e.jpg,"February 28, 2018 at 04:35AM  ift.tt/2GOljOJ"
2018-02-08T17:08:52Z,"""Trump.""",P.M. Carpenter,http://www.pmcarpenter.com/2018/02/trump.html,http://pmcarpenter.blogs.com/.a/6a00d83451bc2169e201b8d2d878eb970c-600wi,"Two nights ago I received a call from the Democratic National Committee, which wanted to know what ""message"" Democratic candidates should hustle this year to regain control of Congress. I found this a trifle unsettling. If party professionals don't know..."
2018-02-28T21:22:06Z,Trump,bluepillsheep,https://www.flickr.com/photos/139044912@N03/39647604415,https://c1.staticflickr.com/5/4712/39647604415_775990588a_b.jpg,Trump's Border Wall Test Makes Liberal Minds Melt bluepillsheep.com/trumps-big-beautiful-border-wall-virtua...
2017-10-12T11:42:08Z,Just Trump being Trump,P.M. Carpenter,http://www.pmcarpenter.com/2017/10/just-trump-being-trump.html,http://pmcarpenter.blogs.com/.a/6a00d83451bc2169e201b7c9295774970b-600wi,"""It all could be Trump being Trump,"" says Nixon biographer John Farrell. ""Or,"" he adds, ""it could be there’s a problem in the White House."" I fail to see the distinction. Any time Trump is being Trump, there's a problem..."
2017-10-16T21:21:00Z,Let Trump Be Trump,Taegan Goddard,https://politicalwire.com/2017/10/16/let-trump-trump/,http://politicalwire.wpengine.com/wp-content/uploads/2016/04/Political_Wire_podcast_logo.png,Coming soon: Let Trump Be Trump: The Inside Story of His Rise to the Presidency by Corey Lewandowski and Dave Bossie. Save to Favorites Twitter Facebook LinkedIn
2017-10-12T11:42:08Z,Just Trump being Trump,P.M. Carpenter,http://www.pmcarpenter.com/2017/10/just-trump-being-trump.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+pmcarpenterscommentary+%28p+m+carpenter%27s+commentary%29,http://pmcarpenter.blogs.com/.a/6a00d83451bc2169e201b7c9295774970b-600wi,"""It all could be Trump being Trump,"" says Nixon biographer John Farrell. ""Or,"" he adds, ""it could be there’s a problem in the White House."" I fail to see the distinction. Any time Trump is being Trump, there's a problem..."
2018-05-05T10:41:56Z,Trump widerspricht Trump,"Von Thorsten Denkler, New York",http://www.sueddeutsche.de/panorama/fall-stormy-daniels-trump-widerspricht-trump-1.3968752,http://media-cdn.sueddeutsche.de/image/sz.1.3968784/940x528?v=1525517121,"Was sein neuer Anwalt gesagt hat, sei nicht richtig, erklärt der US-Präsident - dabei hatte er die Aussagen zuvor via Twitter bestätigt. Ein Überblick über den immer widersprüchlicheren Fall Stormy Daniels."
2018-05-09T14:59:13Z,Khan Can't Trump Trump,Sputnik,https://sputniknews.com/columnists/201805091064296242-sadiq-khan-london-trump/,https://cdn4.img.sputniknews.com/images/104976/37/1049763705.jpg,I love virtue signalling Sadiq Khan. He is just the gift that keeps on giving.
2018-04-28T06:40:17Z,Trump interessiert nur Trump,"Analyse von Thorsten Denkler, New York",http://www.sueddeutsche.de/politik/merkel-und-macron-in-washington-trump-interessiert-nur-trump-1.3960994,http://media-cdn.sueddeutsche.de/image/sz.1.3960995/940x528?v=1524877960,"Die europäische Woche in Washington ist vorbei, die Ergebnisse bescheiden. Weder Merkel noch Macron haben einen Weg gefunden, Trump zu knacken."
2018-04-19T09:54:57Z,Trump Trip Trump,newton,https://www.liveleak.com/view?t=aWv7r_1524131697,https://cdn.liveleak.com/80281E/ll_a_u/2018/Apr/19/LiveLeak-dot-com-5ad868f7054e4_thumb.jpg,"Donnie is tripping, retreating into his own mind... you won't believe what he finds! Won't you join him on his journey? (coulden't resist using a clickbait descriptor) {{embed|t=azTct_1524131678}}"
